Recover;1–12;Recover;special*;This blessing of Isis grants her priests grand healing powers. For each rank of the spell used, the targeted creature gains 1d6 damage points up to their maximum.The casting time of this spell varies based on the strength of the effect:Recover 1-6  – 1 round casting timeRecover 7-12 – 2 round casting timeWhen used as a rank 7 or higher, any excess healing above normal maximum amount of DP is converted into temporary DP. Refer to Chapter 7: Combat for the general temporary damage points mechanic.;willing target;touch;instantaneous;single creature;restore health
Mending;1;Anesthesia;1 round;The target’s pain is temporarily reduced by using this spell. The target gains 1 + 1/4F ranks of Resist Pain for the duration.;willing target;touch;2 + 1/F hours;single creature;reduce pain
Mending;2;Soothe Mind;1 round;The target’s mind is calmed and protected from outside influences. The target gains 1 + 1/4F ranks of Resist Charm for the duration.;willing target;touch;2 + 1/F hours;single creature;mental calming
Mending;3;Invigorate;1 round;This spell awakens the target from non-magical sleep. The target is allowed to reattempt resistance check for any Unconscious status effect due to magical sleep at 1 die less. If successful, the target awakens.When fully finessed, the spell also allows its target to press on regardless of how fatigued they might be.;none;touch;12 + 3/F hours;single creature;energy rush
Mending;4;Treat Disease;1 round;An ill target feels better after having this spell cast on them. Any natural illness is cured. The target is allowed to reattempt a resistance check for any magical illness they currently suffer from at 1 die less. If successful, the target is cured of magical illnesses as well. Any status effects resulting from cured illnesses are negated.;willing target;touch;special;single creature;heal disease
Mending;5;Arrest Death;1 round;The spell places its target into a heavy coma. This coma stabilizes the condition of the target. No further blood will be lost, and if the target is dying due to a suffered critical wound, their death is postponed until the spell’s duration expires.;none;touch;1 day;single dying creature;induce coma
Mending;6;Mend Critical Wound;1 round;The caster places their hands on the creature that suffered any injuries due to a critical hit over the last minute. Such injuries are healed and their effects are negated, though this does not recover the extra damage dealt from the critical hit.;willing target;touch;instantaneous;single creature;repair body
Mending;7;Mend Senses;1 round;Casting this spell while touching the creature that lost any of their senses (vision, hearing, taste, smell or touch), restores lost senses, negating any status effects resulting from the lack of sense such as Blinded and Deafened. Any effect that would impose these status conditions in the next minute can be resisted at 1 less die.;willing target;touch;instantaneous;single creature;repair senses
Mending;8;Detoxify;1 round;Touching a poisoned target while casting this spell causes all poisons and toxins in the target to change to a harmless substance. All active effects from poison are negated, except, of course, for death.When fully finessed, the target also gains 2 ranks of Resist Poison creature ability for 2 hours.;willing target;touch;instantaneous;single creature;remove poisons
Mending;9;Mend Body;1 round;The priest lays their hands on the target to mend broken bones, restore damaged or lost organs and limbs as well as return proper control over body movements to the creature. Bleeding, Paralyzed and Stunned status effects are negated. The Slowed status effect is negated if applied as a result of a physical injury.;willing target;touch;instantaneous;single creature;heal body
Mending;10;Remember;4 rounds;If a person has lost their memory due to physical or magical means, this spell allows the caster to reach deep into the target’s mind and pull isolated events to fore. If the target succeeds at a resistance check of four dice against PER, these events will jog their memory clear and restore their lost memories.;4d6 vs PER accepts;touch;instantaneous;single creature;heal memory
